image_name,dice,precision,Jaccard,F1,Recall
2092(Threshold),0.14121643378940657,0.13189210864616874,0.07597249962635362,0.14121643378940657,0.15195945211436027
2092(Edge),0.13444474321054045,0.13982102908277405,0.07206687806284232,0.13444474321054045,0.1294665976178146
2092(Cluster),0.7254875292258469,0.818968916209977,0.082905262783499,0.1027463529361168,0.10792666193674483
35070(Threshold),0.30163340386982557,0.2137487626309651,0.17760205868221537,0.30163340386982557,0.5122489724016441
35070(Edge),0.2590290609776584,0.22354305595824878,0.1487842531840988,0.2590290609776584,0.3079073482428115
35070(Cluster),0.8123457749625973,0.1279082956784097,0.11669504651526594,0.1347989223826706,0.4341385549415285
24063(Threshold),0.036328251702886796,0.042745532373454666,0.01850016518004625,0.036328251702886796,0.03158628164434466
24063(Edge),0.27518363064008394,0.3206970345460104,0.15954372623574145,0.27518363064008394,0.24098322995635194
24063(Cluster),0.0017422166954877236,0.921947424626249,0.00017678308436492546,0.00035179673697767824,0.0003532642721272926
24004(Threshold),0.4137426341687192,0.48428131272452984,0.26082944866383434,0.4137426341687192,0.3611402421584517
24004(Edge),0.19012537159105597,0.13140968375915668,0.10504891808898094,0.19012537159105597,0.34369158878504674
24004(Cluster),0.44717326960317616,0.9253686094895378,0.03434774659782711,0.04233275638587505,0.0560696298805387
41025(Threshold),0.5648999639630021,0.5145962770678566,0.3936310708506166,0.5648999639630021,0.626103936448764
41025(Edge),0.06614258606668474,0.03830154618946707,0.03420241098962714,0.06614258606668474,0.2421836228287841
41025(Cluster),0.3736504297251961,0.8839199631475259,0.05409735912077736,0.08454518956922358,0.11882329777743998
25098(Threshold),0.5507185820757742,0.7673508624658127,0.3799942338766452,0.5507185820757742,0.42947318965778547
25098(Edge),0.1244098097639239,0.08730618284758412,0.06633101965001466,0.1244098097639239,0.21635841836734693
25098(Cluster),0.1100705306312783,0.936397907132268,0.004086547472842358,0.007142701507869234,0.01232648029179768
